eixo,intensidade,map,count_error
nenhum,0.0,0.4911034072365682,8.075757575757576
blur,1.0,0.4408471628445183,9.106060606060606
blur,2.0,0.29159188359393273,11.454545454545455
blur,4.0,0.11535742805416624,15.893939393939394
ruido,0.05,0.3744024645976425,10.469696969696969
ruido,0.1,0.11323364748820558,30.045454545454547
ruido,0.2,0.0135400016077576,38.45454545454545
brilho,0.15,0.12210556329341751,24.90909090909091
brilho,0.3,0.004923603499443211,37.25757575757576
brilho,0.45,0.0,39.15151515151515
